# mdlog[.1-last] used as log with 0 constraints
#    t=          KineticE=          TotalE=            PotentialE=        P(GPa)=            T(K)=              xi=
   4960.00       0.6245854264    -688.1247040066    -688.7492894330       0.0000000000   16434.2096974098       0.0000000000
   5000.00       0.6094400001    -688.1190847039    -688.7285247040       0.0000000000   16035.7003807374       0.0000000000
   5040.00       0.6214685945    -688.1242446455    -688.7457132400       0.0000000000   16352.1990269489       0.0000000000
   5080.00       0.6270557504    -688.1237657606    -688.7508215110       0.0000000000   16499.2093287498       0.0000000000
   5120.00       0.6140366191    -688.1224274939    -688.7364641130       0.0000000000   16156.6474882648       0.0000000000
   5160.00       0.5996495880    -688.1217657160    -688.7214153040       0.0000000000   15778.0932087188       0.0000000000
   5200.00       0.5947021086    -688.1215592384    -688.7162613470       0.0000000000   15647.9141956364       0.0000000000
   5240.00       0.6027860709    -688.1217619921    -688.7245480630       0.0000000000   15860.6209391873       0.0000000000
   5280.00       0.6200457715    -688.1227274475    -688.7427732190       0.0000000000   16314.7614402240       0.0000000000
   5320.00       0.6315029659    -688.1244138631    -688.7559168290       0.0000000000   16616.2253025639       0.0000000000
   5360.00       0.6216875236    -688.1225949924    -688.7442825160       0.0000000000   16357.9595327745       0.0000000000
   5400.00       0.6153943588    -688.1208257302    -688.7362200890       0.0000000000   16192.3725923821       0.0000000000
   5440.00       0.6257325050    -688.1241224720    -688.7498549770       0.0000000000   16464.3918465631       0.0000000000
   5480.00       0.6223240233    -688.1232456177    -688.7455696410       0.0000000000   16374.7072324577       0.0000000000
   5520.00       0.6070857310    -688.1221365290    -688.7292222600       0.0000000000   15973.7544072390       0.0000000000
   5560.00       0.5953885030    -688.1216646620    -688.7170531650       0.0000000000   15665.9747341153       0.0000000000
   5600.00       0.5952612626    -688.1216298974    -688.7168911600       0.0000000000   15662.6267627851       0.0000000000
   5640.00       0.6071420745    -688.1220673055    -688.7292093800       0.0000000000   15975.2369275257       0.0000000000
   5680.00       0.6234675204    -688.1232375686    -688.7467050890       0.0000000000   16404.7951427173       0.0000000000
   5720.00       0.6270559651    -688.1245950279    -688.7516509930       0.0000000000   16499.2149773715       0.0000000000
   5760.00       0.6131562200    -688.1205284970    -688.7336847170       0.0000000000   16133.4822600855       0.0000000000
   5800.00       0.6187652602    -688.1228012958    -688.7415665560       0.0000000000   16281.0683843264       0.0000000000
   5840.00       0.6297288110    -688.1244308190    -688.7541596300       0.0000000000   16569.5434044552       0.0000000000
   5880.00       0.6191644163    -688.1227599777    -688.7419243940       0.0000000000   16291.5710568817       0.0000000000
   5920.00       0.6029075681    -688.1218974399    -688.7248050080       0.0000000000   15863.8177964857       0.0000000000
   5960.00       0.5949555480    -688.1216983950    -688.7166539430       0.0000000000   15654.5827421774       0.0000000000
   6000.00       0.5993405341    -688.1218385279    -688.7211790620       0.0000000000   15769.9613245556       0.0000000000
   6040.00       0.6136213948    -688.1224516722    -688.7360730670       0.0000000000   16145.7220283277       0.0000000000
   6080.00       0.6267661052    -688.1240543148    -688.7508204200       0.0000000000   16491.5881288876       0.0000000000
   6120.00       0.6202873238    -688.1238388472    -688.7441261710       0.0000000000   16321.1172111448       0.0000000000
   6160.00       0.6073236340    -688.1199649220    -688.7272885560       0.0000000000   15980.0141549841       0.0000000000
   6200.00       0.6165303931    -688.1237894879    -688.7403198810       0.0000000000   16222.2641405387       0.0000000000
   6240.00       0.6195198038    -688.1235554642    -688.7430752680       0.0000000000   16300.9220783472       0.0000000000
   6280.00       0.6072354951    -688.1222486049    -688.7294841000       0.0000000000   15977.6950298380       0.0000000000
   6320.00       0.5956474279    -688.1216794591    -688.7173268870       0.0000000000   15672.7876162736       0.0000000000
   6360.00       0.5945433641    -688.1215226369    -688.7160660010       0.0000000000   15643.7372795828       0.0000000000
   6400.00       0.6060101153    -688.1218629057    -688.7278730210       0.0000000000   15945.4526044594       0.0000000000
   6440.00       0.6228261191    -688.1232285389    -688.7460546580       0.0000000000   16387.9184715776       0.0000000000
   6480.00       0.6249360816    -688.1247140804    -688.7496501620       0.0000000000   16443.4362029670       0.0000000000
