#    t=      ,    KineticE=    ,      TotalE=      ,      PotentialE=    ,    P(GPa)=       ,     T(K)=         ,     xi=
   2280.00   ,    0.0609401826 ,  -1151.8620936974 ,  -1151.9230338800   ,    0.0000000000  ,  1832.5366784154  ,     0.0000000000
   2320.00   ,    0.0511647766 ,  -1151.8617917234 ,  -1151.9129565000   ,    0.0000000000  ,  1538.5797325930  ,     0.0000000000
   2360.00   ,    0.0494718588 ,  -1151.8635273912 ,  -1151.9129992500   ,    0.0000000000  ,  1487.6718754426  ,     0.0000000000
   2400.00   ,    0.0554107682 ,  -1151.8634755118 ,  -1151.9188862800   ,    0.0000000000  ,  1666.2612541351  ,     0.0000000000
   2440.00   ,    0.0597412196 ,  -1151.8636315904 ,  -1151.9233728100   ,    0.0000000000  ,  1796.4825735005  ,     0.0000000000
   2480.00   ,    0.0547597504 ,  -1151.8634023296 ,  -1151.9181620800   ,    0.0000000000  ,  1646.6844495204  ,     0.0000000000
   2520.00   ,    0.0431909498 ,  -1151.8609451002 ,  -1151.9041360500   ,    0.0000000000  ,  1298.7982048051  ,     0.0000000000
   2560.00   ,    0.0446201316 ,  -1151.8643668884 ,  -1151.9089870200   ,    0.0000000000  ,  1341.7752333530  ,     0.0000000000
   2600.00   ,    0.0545221604 ,  -1151.8644006196 ,  -1151.9189227800   ,    0.0000000000  ,  1639.5398658560  ,     0.0000000000
   2640.00   ,    0.0479951042 ,  -1151.8622098658 ,  -1151.9102049700   ,    0.0000000000  ,  1443.2642797722  ,     0.0000000000
   2680.00   ,    0.0334959678 ,  -1151.8615059722 ,  -1151.8950019400   ,    0.0000000000  ,  1007.2596922105  ,     0.0000000000
   2720.00   ,    0.0294553700 ,  -1151.8633590100 ,  -1151.8928143800   ,    0.0000000000  ,   885.7545820557  ,     0.0000000000
   2760.00   ,    0.0360640028 ,  -1151.8638985572 ,  -1151.8999625600   ,    0.0000000000  ,  1084.4832609763  ,     0.0000000000
   2800.00   ,    0.0404745765 ,  -1151.8636148435 ,  -1151.9040894200   ,    0.0000000000  ,  1217.1139441731  ,     0.0000000000
   2840.00   ,    0.0330318188 ,  -1151.8631333112 ,  -1151.8961651300   ,    0.0000000000  ,   993.3022349904  ,     0.0000000000
   2880.00   ,    0.0215089691 ,  -1151.8605790509 ,  -1151.8820880200   ,    0.0000000000  ,   646.7977806857  ,     0.0000000000
   2920.00   ,    0.0266037884 ,  -1151.8655339916 ,  -1151.8921377800   ,    0.0000000000  ,   800.0044620902  ,     0.0000000000
   2960.00   ,    0.0411979420 ,  -1151.8633480080 ,  -1151.9045459500   ,    0.0000000000  ,  1238.8663203922  ,     0.0000000000
   3000.00   ,    0.0359213880 ,  -1151.8621904920 ,  -1151.8981118800   ,    0.0000000000  ,  1080.1946815819  ,     0.0000000000
   3040.00   ,    0.0232235941 ,  -1151.8612620259 ,  -1151.8844856200   ,    0.0000000000  ,   698.3583929898  ,     0.0000000000
   3080.00   ,    0.0225001049 ,  -1151.8633464551 ,  -1151.8858465600   ,    0.0000000000  ,   676.6022976164  ,     0.0000000000
   3120.00   ,    0.0347527568 ,  -1151.8641984732 ,  -1151.8989512300   ,    0.0000000000  ,  1045.0526870278  ,     0.0000000000
   3160.00   ,    0.0436460581 ,  -1151.8634628819 ,  -1151.9071089400   ,    0.0000000000  ,  1312.4837992906  ,     0.0000000000
   3200.00   ,    0.0378905685 ,  -1151.8630437715 ,  -1151.9009343400   ,    0.0000000000  ,  1139.4100514215  ,     0.0000000000
   3240.00   ,    0.0276567236 ,  -1151.8603169064 ,  -1151.8879736300   ,    0.0000000000  ,   831.6673541966  ,     0.0000000000
   3280.00   ,    0.0350356943 ,  -1151.8659070257 ,  -1151.9009427200   ,    0.0000000000  ,  1053.5609190261  ,     0.0000000000
   3320.00   ,    0.0519703240 ,  -1151.8632404360 ,  -1151.9152107600   ,    0.0000000000  ,  1562.8034049446  ,     0.0000000000
   3360.00   ,    0.0472414498 ,  -1151.8621250802 ,  -1151.9093665300   ,    0.0000000000  ,  1420.6010844802  ,     0.0000000000
   3400.00   ,    0.0337220660 ,  -1151.8612670740 ,  -1151.8949891400   ,    0.0000000000  ,  1014.0587070431  ,     0.0000000000
   3440.00   ,    0.0316743666 ,  -1151.8631527234 ,  -1151.8948270900   ,    0.0000000000  ,   952.4821886419  ,     0.0000000000
   3480.00   ,    0.0427754552 ,  -1151.8643761148 ,  -1151.9071515700   ,    0.0000000000  ,  1286.3038336468  ,     0.0000000000
   3520.00   ,    0.0504453537 ,  -1151.8634850163 ,  -1151.9139303700   ,    0.0000000000  ,  1516.9459139185  ,     0.0000000000
   3560.00   ,    0.0426016036 ,  -1151.8633409264 ,  -1151.9059425300   ,    0.0000000000  ,  1281.0759324243  ,     0.0000000000
   3600.00   ,    0.0273402832 ,  -1151.8603356468 ,  -1151.8876759300   ,    0.0000000000  ,   822.1516505441  ,     0.0000000000
   3640.00   ,    0.0299250657 ,  -1151.8650421343 ,  -1151.8949672000   ,    0.0000000000  ,   899.8788331732  ,     0.0000000000
   3680.00   ,    0.0444103832 ,  -1151.8639012868 ,  -1151.9083116700   ,    0.0000000000  ,  1335.4678736955  ,     0.0000000000
   3720.00   ,    0.0387487949 ,  -1151.8620781451 ,  -1151.9008269400   ,    0.0000000000  ,  1165.2178379891  ,     0.0000000000
   3760.00   ,    0.0224746217 ,  -1151.8612312883 ,  -1151.8837059100   ,    0.0000000000  ,   675.8359900976  ,     0.0000000000
   3800.00   ,    0.0167588469 ,  -1151.8624868531 ,  -1151.8792457000   ,    0.0000000000  ,   503.9565069742  ,     0.0000000000
   3840.00   ,    0.0250276738 ,  -1151.8645437962 ,  -1151.8895714700   ,    0.0000000000  ,   752.6090055376  ,     0.0000000000
   3880.00   ,    0.0348987878 ,  -1151.8632221422 ,  -1151.8981209300   ,    0.0000000000  ,  1049.4439937392  ,     0.0000000000
   3920.00   ,    0.0320192813 ,  -1151.8637091587 ,  -1151.8957284400   ,    0.0000000000  ,   962.8541447441  ,     0.0000000000
   3960.00   ,    0.0195470680 ,  -1151.8607973320 ,  -1151.8803444000   ,    0.0000000000  ,   587.8013087051  ,     0.0000000000
   4000.00   ,    0.0234792053 ,  -1151.8638773347 ,  -1151.8873565400   ,    0.0000000000  ,   706.0448973359  ,     0.0000000000
   4040.00   ,    0.0442605996 ,  -1151.8649128304 ,  -1151.9091734300   ,    0.0000000000  ,  1330.9637207239  ,     0.0000000000
   4080.00   ,    0.0483887945 ,  -1151.8619229655 ,  -1151.9103117600   ,    0.0000000000  ,  1455.1029706461  ,     0.0000000000
   4120.00   ,    0.0373693676 ,  -1151.8615733724 ,  -1151.8989427400   ,    0.0000000000  ,  1123.7369791171  ,     0.0000000000
   4160.00   ,    0.0329996164 ,  -1151.8622196536 ,  -1151.8952192700   ,    0.0000000000  ,   992.3338736233  ,     0.0000000000
   4200.00   ,    0.0429347736 ,  -1151.8644273764 ,  -1151.9073621500   ,    0.0000000000  ,  1291.0947107839  ,     0.0000000000
   4240.00   ,    0.0568520205 ,  -1151.8633676295 ,  -1151.9202196500   ,    0.0000000000  ,  1709.6012578970  ,     0.0000000000
   4280.00   ,    0.0587663527 ,  -1151.8639787773 ,  -1151.9227451300   ,    0.0000000000  ,  1767.1672822516  ,     0.0000000000
   4320.00   ,    0.0458707901 ,  -1151.8613723899 ,  -1151.9072431800   ,    0.0000000000  ,  1379.3838780919  ,     0.0000000000
   4360.00   ,    0.0433503667 ,  -1151.8619994033 ,  -1151.9053497700   ,    0.0000000000  ,  1303.5920418830  ,     0.0000000000
   4400.00   ,    0.0589154625 ,  -1151.8666518175 ,  -1151.9255672800   ,    0.0000000000  ,  1771.6511724982  ,     0.0000000000
   4440.00   ,    0.0632949836 ,  -1151.8620652664 ,  -1151.9253602500   ,    0.0000000000  ,  1903.3480703453  ,     0.0000000000
   4480.00   ,    0.0479148908 ,  -1151.8617294192 ,  -1151.9096443100   ,    0.0000000000  ,  1440.8521770615  ,     0.0000000000
   4520.00   ,    0.0359110433 ,  -1151.8616338367 ,  -1151.8975448800   ,    0.0000000000  ,  1079.8836028423  ,     0.0000000000
   4560.00   ,    0.0394486123 ,  -1151.8642918877 ,  -1151.9037405000   ,    0.0000000000  ,  1186.2621002660  ,     0.0000000000
   4600.00   ,    0.0515195499 ,  -1151.8635958001 ,  -1151.9151153500   ,    0.0000000000  ,  1549.2481453966  ,     0.0000000000
   4640.00   ,    0.0545276421 ,  -1151.8640473479 ,  -1151.9185749900   ,    0.0000000000  ,  1639.7047037684  ,     0.0000000000
   4680.00   ,    0.0406106912 ,  -1151.8621640988 ,  -1151.9027747900   ,    0.0000000000  ,  1221.2070574012  ,     0.0000000000
   4720.00   ,    0.0324213273 ,  -1151.8602011027 ,  -1151.8926224300   ,    0.0000000000  ,   974.9440990691  ,     0.0000000000
   4760.00   ,    0.0458045739 ,  -1151.8683685561 ,  -1151.9141731300   ,    0.0000000000  ,  1377.3926857889  ,     0.0000000000
   4800.00   ,    0.0569194248 ,  -1151.8617948552 ,  -1151.9187142800   ,    0.0000000000  ,  1711.6281771246  ,     0.0000000000
   4840.00   ,    0.0433073521 ,  -1151.8617446079 ,  -1151.9050519600   ,    0.0000000000  ,  1302.2985466560  ,     0.0000000000
   4880.00   ,    0.0301918732 ,  -1151.8611866868 ,  -1151.8913785600   ,    0.0000000000  ,   907.9020225172  ,     0.0000000000
   4920.00   ,    0.0335836274 ,  -1151.8641954226 ,  -1151.8977790500   ,    0.0000000000  ,  1009.8957091195  ,     0.0000000000
   4960.00   ,    0.0496047774 ,  -1151.8636426126 ,  -1151.9132473900   ,    0.0000000000  ,  1491.6688816388  ,     0.0000000000
   5000.00   ,    0.0585949567 ,  -1151.8640042433 ,  -1151.9225992000   ,    0.0000000000  ,  1762.0132204315  ,     0.0000000000
   5040.00   ,    0.0491678181 ,  -1151.8629745319 ,  -1151.9121423500   ,    0.0000000000  ,  1478.5290466508  ,     0.0000000000
   5080.00   ,    0.0387930298 ,  -1151.8588291302 ,  -1151.8976221600   ,    0.0000000000  ,  1166.5480296591  ,     0.0000000000
   5120.00   ,    0.0526650526 ,  -1151.8693515174 ,  -1151.9220165700   ,    0.0000000000  ,  1583.6946406221  ,     0.0000000000
   5160.00   ,    0.0719139860 ,  -1151.8615299040 ,  -1151.9334438900   ,    0.0000000000  ,  2162.5307225628  ,     0.0000000000
   5200.00   ,    0.0610690897 ,  -1151.8618050703 ,  -1151.9228741600   ,    0.0000000000  ,  1836.4130528063  ,     0.0000000000
   5240.00   ,    0.0461667790 ,  -1151.8610792810 ,  -1151.9072460600   ,    0.0000000000  ,  1388.2845793643  ,     0.0000000000
   5280.00   ,    0.0466248618 ,  -1151.8636706882 ,  -1151.9102955500   ,    0.0000000000  ,  1402.0596217390  ,     0.0000000000
   5320.00   ,    0.0617629425 ,  -1151.8640217375 ,  -1151.9257846800   ,    0.0000000000  ,  1857.2779526260  ,     0.0000000000
   5360.00   ,    0.0732769912 ,  -1151.8637328988 ,  -1151.9370098900   ,    0.0000000000  ,  2203.5177509784  ,     0.0000000000
   5400.00   ,    0.0669676065 ,  -1151.8641187235 ,  -1151.9310863300   ,    0.0000000000  ,  2013.7877833830  ,     0.0000000000
   5440.00   ,    0.0479133572 ,  -1151.8585621628 ,  -1151.9064755200   ,    0.0000000000  ,  1440.8060609450  ,     0.0000000000
   5480.00   ,    0.0527656389 ,  -1151.8670459211 ,  -1151.9198115600   ,    0.0000000000  ,  1586.7193775589  ,     0.0000000000
   5520.00   ,    0.0729849112 ,  -1151.8632616188 ,  -1151.9362465300   ,    0.0000000000  ,  2194.7345901809  ,     0.0000000000
   5560.00   ,    0.0636012255 ,  -1151.8617954445 ,  -1151.9253966700   ,    0.0000000000  ,  1912.5570935466  ,     0.0000000000
   5600.00   ,    0.0418830192 ,  -1151.8609588108 ,  -1151.9028418300   ,    0.0000000000  ,  1259.4673265553  ,     0.0000000000
   5640.00   ,    0.0326739537 ,  -1151.8624666263 ,  -1151.8951405800   ,    0.0000000000  ,   982.5408453039  ,     0.0000000000
   5680.00   ,    0.0413234210 ,  -1151.8645101190 ,  -1151.9058335400   ,    0.0000000000  ,  1242.6396095692  ,     0.0000000000
   5720.00   ,    0.0538409180 ,  -1151.8632657120 ,  -1151.9171066300   ,    0.0000000000  ,  1619.0541744273  ,     0.0000000000
   5760.00   ,    0.0546248343 ,  -1151.8644835057 ,  -1151.9191083400   ,    0.0000000000  ,  1642.6273777724  ,     0.0000000000
   5800.00   ,    0.0356707604 ,  -1151.8616744796 ,  -1151.8973452400   ,    0.0000000000  ,  1072.6580402622  ,     0.0000000000
   5840.00   ,    0.0297852029 ,  -1151.8599919171 ,  -1151.8897771200   ,    0.0000000000  ,   895.6730098047  ,     0.0000000000
   5880.00   ,    0.0507570043 ,  -1151.8704481657 ,  -1151.9212051700   ,    0.0000000000  ,  1526.3175810739  ,     0.0000000000
   5920.00   ,    0.0636319489 ,  -1151.8609769711 ,  -1151.9246089200   ,    0.0000000000  ,  1913.4809782601  ,     0.0000000000
   5960.00   ,    0.0448237467 ,  -1151.8609812933 ,  -1151.9058050400   ,    0.0000000000  ,  1347.8981583452  ,     0.0000000000
   6000.00   ,    0.0309354659 ,  -1151.8610543641 ,  -1151.8919898300   ,    0.0000000000  ,   930.2626532129  ,     0.0000000000
   6040.00   ,    0.0372889410 ,  -1151.8649445590 ,  -1151.9022335000   ,    0.0000000000  ,  1121.3184675571  ,     0.0000000000
   6080.00   ,    0.0547783990 ,  -1151.8631255010 ,  -1151.9179039000   ,    0.0000000000  ,  1647.2452332748  ,     0.0000000000
   6120.00   ,    0.0626539214 ,  -1151.8638173286 ,  -1151.9264712500   ,    0.0000000000  ,  1884.0706417017  ,     0.0000000000
   6160.00   ,    0.0523577626 ,  -1151.8639728774 ,  -1151.9163306400   ,    0.0000000000  ,  1574.4540994601  ,     0.0000000000
   6200.00   ,    0.0355513210 ,  -1151.8576380690 ,  -1151.8931893900   ,    0.0000000000  ,  1069.0663695103  ,     0.0000000000
   6240.00   ,    0.0476311204 ,  -1151.8709184496 ,  -1151.9185495700   ,    0.0000000000  ,  1432.3188989296  ,     0.0000000000
   6280.00   ,    0.0718323776 ,  -1151.8609249024 ,  -1151.9327572800   ,    0.0000000000  ,  2160.0766685010  ,     0.0000000000
   6320.00   ,    0.0554041675 ,  -1151.8611949225 ,  -1151.9165990900   ,    0.0000000000  ,  1666.0627632068  ,     0.0000000000
